matchup,game_id,red_agent,yellow_agent,winner_value,winner_name,illegal_by,red_time,yellow_time,turns
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,2,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.7371244430542,1.7300183773040771,14
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,3,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,9.741603136062622,0.9254550933837891,8
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,4,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.460332155227661,4.415322780609131,16
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,5,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.384996175765991,3.4366848468780518,16
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,6,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,15.60425353050232,3.140061378479004,16
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,7,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.298027753829956,1.9518511295318604,14
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,8,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,9.638585329055786,1.035851001739502,8
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,9,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,9.926414966583252,1.0490734577178955,8
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,10,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.455024003982544,1.74452543258667,14
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,11,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.72050404548645,3.537978410720825,18
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,12,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.281162023544312,0.7186028957366943,12
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,13,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.741864681243896,4.411321640014648,16
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,14,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.39821457862854,3.7264931201934814,18
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,15,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.350393295288086,2.262838125228882,14
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,16,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.521001100540161,2.3543083667755127,18
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,17,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,9.843733549118042,1.034963607788086,8
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,18,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.701444149017334,3.479503870010376,16
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,19,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.322865009307861,2.992365837097168,16
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,20,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,9.895507574081421,1.0633127689361572,8
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,1,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.5948078632354736,6.388058662414551,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,2,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.641089916229248,6.177086353302002,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,3,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.5841076374053955,6.164507627487183,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,4,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.6246206760406494,6.271726131439209,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,5,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.5993142127990723,6.2628173828125,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,6,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.667085886001587,6.4850382804870605,35
Group A Santiago - MinimaxAlphaBeta vs Group C Luis - TacticalExpectimax,7,Group A Santiago - MinimaxAlphaBeta,Group C Luis - TacticalExpectimax,-1,Group A Santiago - MinimaxAlphaBeta,,1.6525611877441406,6.271597623825073,35
