agent,games,wins,draws,losses,win_rate,red_win_rate,yellow_win_rate,illegal_moves,avg_time_as_red,avg_time_as_yellow,avg_time_total
Group A Santiago - MinimaxAlphaBeta,120,120,0,0,100.0,100.0,100.0,0,1.430088714758555,2.715587512652079,2.072838113705317
Group C Luis - TacticalExpectimax,120,80,0,40,66.66666666666667,66.66666666666667,66.66666666666667,0,4.031909279028574,4.489478850364685,4.260694064696629
Group B Ricardo - MCTS_UCB1,120,31,0,89,25.833333333333332,23.333333333333332,28.333333333333332,0,15.793020701408386,11.230638599395752,13.511829650402069
RandomPolicy,120,9,0,111,7.5,5.0,10.0,0,4.054705301920573e-05,3.821452458699544e-05,3.938078880310059e-05
